,rp_date,cp_id,device,imps,clicks,cost,cv_t
0,2017/1/1,652057083,1,1571,5,900,0
1,2017/1/2,652057083,1,2027,8,1563,0
2,2017/1/3,652057083,1,2742,5,902,0
3,2017/1/4,652057083,1,2824,9,1669,0
4,2017/1/5,652057083,1,2734,2,346,0
5,2017/1/6,652057083,1,2272,4,549,0
6,2017/1/7,652057083,1,2939,8,1457,0
7,2017/1/8,652057083,1,3353,8,1639,2
8,2017/1/9,652057083,1,3323,14,2076,0
9,2017/1/10,652057083,1,1860,11,1216,1
10,2017/1/11,652057083,1,1800,8,1452,0
11,2017/1/12,652057083,1,1938,11,2080,0
12,2017/1/13,652057083,1,1744,4,618,1
13,2017/1/14,652057083,1,2004,9,1383,0
14,2017/1/15,652057083,1,2447,5,983,1
15,2017/1/16,652057083,1,1746,9,1246,0
16,2017/1/17,652057083,1,1608,8,1635,1
17,2017/1/18,652057083,1,1499,9,1212,0
18,2017/1/19,652057083,1,1666,4,1061,0
19,2017/1/20,652057083,1,1584,7,1296,0
20,2017/1/21,652057083,1,1802,5,910,0
21,2017/1/22,652057083,1,2335,16,2763,1
22,2017/1/23,652057083,1,2408,12,2131,0
23,2017/1/24,652057083,1,2388,5,1074,2
24,2017/1/25,652057083,1,1983,4,790,0
25,2017/1/26,652057083,1,1857,6,1040,0
26,2017/1/27,652057083,1,1530,9,1453,0
27,2017/1/28,652057083,1,1471,6,1072,0
28,2017/1/29,652057083,1,1237,6,770,0
29,2017/1/30,652057083,1,1224,7,1418,0
30,2017/1/31,652057083,1,1298,6,1055,0
31,2017/2/1,652057083,1,1241,5,1291,0
32,2017/2/2,652057083,1,1122,6,1051,0
33,2017/2/3,652057083,1,951,5,1049,0
34,2017/2/4,652057083,1,900,5,987,0
35,2017/2/5,652057083,1,1290,7,1632,0
36,2017/2/6,652057083,1,928,8,1675,0
37,2017/2/7,652057083,1,844,2,283,0
38,2017/2/8,652057083,1,712,8,1455,1
39,2017/2/9,652057083,1,813,9,1510,0
40,2017/2/10,652057083,1,773,5,953,1
41,2017/2/11,652057083,1,899,4,603,1
