pv,click,cost,cv
3540,35,6710,0
5070,28,6170,0
6140,44,9050,1
5730,41,8280,1
5150,29,5860,2
4380,29,5490,2
5730,48,9650,0
6850,50,10000,2
6950,88,14600,3
4290,55,8910,3
3870,52,9290,1
4170,55,10900,1
3620,43,8870,1
4400,55,9830,2
5590,54,11100,4
3910,36,6350,0
3420,49,10500,1
3470,30,5730,0
3930,42,8270,0
3370,33,7450,1
4150,41,8820,0
5430,60,11600,2
4410,43,8240,0
4710,40,8720,2
3890,37,7090,0
3500,33,6730,0
3000,44,8630,2
3290,35,8100,1
3170,40,8360,1
2720,39,8490,2
2850,44,9060,2
2710,34,6490,1
2460,36,7390,0
2030,31,6850,1
2390,30,6270,0
3390,45,10700,0
2200,36,8320,0
2160,32,5680,1
1760,37,6850,1
1840,30,5490,0
1730,19,3610,1
2340,27,5270,1
2540,41,6840,2
1920,25,4790,1
1540,27,5200,1
1680,21,4430,0
1730,23,4640,0
1560,29,5970,0
1600,20,4800,1
2070,39,8190,3
1870,23,3980,2
1690,19,3800,1
1710,35,6200,1
1820,22,4840,4
1630,26,6280,1
1870,37,8250,0
2100,25,5440,1
1610,29,6130,0
1720,29,5980,0
1420,29,5980,0
1730,26,5490,0
1560,18,4010,0
1710,18,3060,0
2050,29,5600,0
1690,21,4530,1
1470,25,5270,0
1450,25,5550,3
1580,17,3680,0
1480,10,1610,0
1660,35,6470,0
1930,30,5800,1
1640,23,4860,0
1530,31,5850,1
1530,22,4240,0
1420,21,4130,0
1240,26,5490,2
1570,19,3880,0
1440,22,4400,0
1700,16,3290,0
1420,30,6540,0
1230,25,5210,0
1220,19,3670,0
1240,27,5530,1
1530,15,3020,0
2100,25,4060,0
1630,26,5690,0
1370,21,4800,0
1460,34,6860,2
1520,21,3930,0
1580,21,4230,0
1870,27,5180,0
1810,24,5130,0
1510,21,4440,1
1530,29,6030,1
1440,24,4960,2
1490,24,5690,1
1420,16,3630,0
1590,22,4130,2
1900,18,4010,0
1650,34,6930,3
1700,17,3120,0
1300,24,5170,0
1350,23,5080,1
1080,16,2750,0
1300,23,4880,1
1370,34,8090,0
1360,22,4890,1
1460,21,4330,0
1220,21,4590,0
1240,25,4580,2
1060,25,5160,1
1250,19,3920,1
1250,23,4590,1
1160,21,4500,0
963,20,3400,1
907,13,2470,0
884,15,2610,1
807,15,2240,0
1020,18,3350,0
1200,14,2390,0
1020,11,2040,1
857,15,2750,0
992,14,2550,1
1160,16,3210,0
1160,16,3100,0
1220,20,4140,0
1410,18,2920,2
1010,23,4290,0
977,19,3330,1
1260,26,4690,0
1640,25,4380,1
963,18,3270,1
1350,34,5650,2
1360,19,3630,1
1130,16,3160,1
1080,16,3360,1
1060,26,5030,0
1000,22,4570,1
932,14,2740,0
1070,22,3930,0
1110,15,3270,0
1090,17,3240,0
1050,18,3480,0
1140,16,3570,0
1140,17,3040,0
1060,19,3750,0
1040,9,1380,0
1190,19,3750,0
1100,22,4030,1
1060,16,2600,1
1060,17,3150,0
1050,23,4630,1
1040,23,4000,0
1050,22,3940,0
1190,34,5540,1
1000,15,2610,0
1010,22,3800,2
1120,18,3250,0
1090,21,3640,1
815,23,4250,3
1070,18,3550,0
1160,15,3060,1
967,20,4050,0
815,14,3040,3
848,13,2930,0
917,20,3820,0
839,16,3420,1
939,26,5070,1
1060,17,3350,0
937,15,2560,0
918,23,4000,0
884,10,1900,0
799,13,2190,0
614,23,3860,2
775,9,1770,0
929,18,2880,1
821,17,3190,0
762,19,3190,1
709,13,2290,0
745,12,1880,0
695,10,1890,0
835,12,2240,2
845,16,2980,0
747,14,2630,1
692,18,3120,0
682,16,2670,0
715,18,2780,1
632,8,1920,0
779,13,2640,0
926,14,2380,0
1620,12,2430,2
1280,20,3720,1
642,10,2270,0
648,19,3180,0
581,16,2980,0
574,13,2450,0
762,16,3260,0
777,8,2000,0
610,10,1600,0
665,9,1730,0
548,12,2150,0
630,7,1130,1
483,11,1900,1
597,17,2230,0
1180,5,732,0
1210,11,1480,0
1560,8,1170,0
1340,11,1700,0
1060,10,1360,0
1340,9,1440,1
1680,8,876,1
1250,7,770,0
1470,12,1930,0
1250,8,904,1
1220,9,1180,0
852,4,381,0
958,10,1160,0
1070,9,838,0
1110,12,1160,2
885,11,1440,0
908,8,832,0
789,6,624,1
950,8,828,0
820,8,631,0
993,13,1240,0
1110,6,408,0
1150,8,759,0
1280,13,1530,1
1200,10,1270,0
913,4,258,0
830,12,1160,0
1070,11,809,1
1090,15,1560,0
827,5,605,0
1030,11,1290,0
894,6,455,0
862,6,568,0
1100,10,1140,0
1200,8,772,0
1050,6,669,0
835,8,771,0
865,8,779,0
750,5,435,0
765,7,615,1
1020,8,860,0
1120,8,953,0
1000,10,934,0
994,14,1780,1
1270,14,1400,1
1370,9,1070,0
1110,10,1520,2
1270,14,1430,0
1620,8,973,0
1150,11,1110,0
1070,9,1080,0
1170,8,805,0
915,5,487,0
556,6,533,0
769,7,647,1
1630,14,1340,0
1220,8,743,0
937,11,897,0
851,13,1610,1
799,4,606,0
613,7,588,0
759,8,738,0
939,9,824,0
776,6,626,0
645,7,602,1
642,9,1100,0
641,18,2020,0
577,8,812,0
573,8,917,0
1070,9,905,0
706,9,903,0
948,7,641,1
710,17,1880,0
572,7,831,0
455,6,517,0
442,8,555,0
455,12,1130,0
651,6,454,0
492,8,626,0
519,16,1320,0
606,9,721,0
592,6,548,0
581,9,835,0
796,9,652,0
633,8,1010,0
730,8,865,0
580,10,918,0
543,8,840,0
512,5,534,0
681,12,1600,0
893,9,1090,0
